Time,Frame,Hand,Landmark,X,Y,Z
6.961270093917847,77,Left,0,0.2065550684928894,1.0011824369430542,3.7163681554375216e-07
6.961270093917847,77,Left,1,0.21048173308372498,0.9171440601348877,-0.007843440398573875
6.961270093917847,77,Left,2,0.24460603296756744,0.8346043825149536,-0.020568212494254112
6.961270093917847,77,Left,3,0.2841251492500305,0.7833105325698853,-0.03220013156533241
6.961270093917847,77,Left,4,0.3245686888694763,0.7575979232788086,-0.043151259422302246
6.961270093917847,77,Left,5,0.2746478021144867,0.8401089310646057,-0.03695933148264885
6.961270093917847,77,Left,6,0.36102163791656494,0.8311393857002258,-0.053946107625961304
6.961270093917847,77,Left,7,0.3974558413028717,0.8238012790679932,-0.06053606793284416
6.961270093917847,77,Left,8,0.4168141484260559,0.8199287056922913,-0.06266136467456818
6.961270093917847,77,Left,9,0.28207993507385254,0.8888421058654785,-0.04163939505815506
6.961270093917847,77,Left,10,0.3737942576408386,0.8712694644927979,-0.054877813905477524
6.961270093917847,77,Left,11,0.4045020341873169,0.8636142611503601,-0.05464234575629234
6.961270093917847,77,Left,12,0.4166684150695801,0.8623794913291931,-0.05366959050297737
6.961270093917847,77,Left,13,0.2893236577510834,0.9390351176261902,-0.0451725572347641
6.961270093917847,77,Left,14,0.37684011459350586,0.9182645678520203,-0.05400269106030464
6.961270093917847,77,Left,15,0.4058849811553955,0.9125397205352783,-0.04639943689107895
6.961270093917847,77,Left,16,0.41742706298828125,0.9105260372161865,-0.04064837843179703
6.961270093917847,77,Left,17,0.293673038482666,0.9862104654312134,-0.04892600700259209
6.961270093917847,77,Left,18,0.35803350806236267,0.9757227301597595,-0.05428122729063034
6.961270093917847,77,Left,19,0.38970351219177246,0.9722917079925537,-0.04761628806591034
6.961270093917847,77,Left,20,0.40874820947647095,0.9700948596000671,-0.04130693897604942
7.027008771896362,78,Left,0,0.20473280549049377,1.0065988302230835,4.5064314235787606e-07
7.027008771896362,78,Left,1,0.20879466831684113,0.9256293773651123,-0.010633358731865883
7.027008771896362,78,Left,2,0.24177947640419006,0.8397075533866882,-0.023138441145420074
7.027008771896362,78,Left,3,0.2816580832004547,0.7856945991516113,-0.033671628683805466
7.027008771896362,78,Left,4,0.32202062010765076,0.755975604057312,-0.042677801102399826
7.027008771896362,78,Left,5,0.2705245912075043,0.8433271646499634,-0.03477741405367851
7.027008771896362,78,Left,6,0.3550523519515991,0.8348983526229858,-0.050297532230615616
7.027008771896362,78,Left,7,0.39263543486595154,0.8266807198524475,-0.055706560611724854
7.027008771896362,78,Left,8,0.41406258940696716,0.8223063349723816,-0.05702653527259827
7.027008771896362,78,Left,9,0.2815079092979431,0.8960344791412354,-0.03784714639186859
7.027008771896362,78,Left,10,0.37651002407073975,0.8809481859207153,-0.05217603221535683
