Frame,Hand,Landmark,X,Y,Z
14,Left,13,0.2341642826795578,0.6735025644302368,-0.0016520150238648057
14,Left,14,0.2395799309015274,0.567211389541626,-0.012578168883919716
14,Left,15,0.2540067732334137,0.5034165382385254,-0.023175464943051338
14,Left,16,0.27043482661247253,0.44884300231933594,-0.030492335557937622
14,Left,17,0.20155005156993866,0.6985664367675781,-0.016438206657767296
14,Left,18,0.20499937236309052,0.6122009754180908,-0.026780661195516586
14,Left,19,0.2165035903453827,0.5580299496650696,-0.031123287975788116
14,Left,20,0.2327679842710495,0.5099954605102539,-0.03393691033124924
15,Left,0,0.2651798725128174,0.9460618495941162,3.203786036465317e-07
15,Left,1,0.33249884843826294,0.8840162754058838,-0.010373800992965698
15,Left,2,0.3687293529510498,0.7744154334068298,-0.00613419758155942
15,Left,3,0.37851715087890625,0.6972983479499817,-0.0037935974542051554
15,Left,4,0.3762858808040619,0.6376680731773376,-0.0003829020424745977
15,Left,5,0.3196389675140381,0.6667739152908325,0.018798159435391426
15,Left,6,0.32772910594940186,0.5776571035385132,0.008339696563780308
15,Left,7,0.3371722996234894,0.525382399559021,-0.0047313142567873
15,Left,8,0.3463563621044159,0.4793763756752014,-0.014407262206077576
15,Left,9,0.28497743606567383,0.6574447751045227,0.012069799937307835
15,Left,10,0.29295486211776733,0.5539252161979675,0.0034425808116793633
15,Left,11,0.3059847950935364,0.49211356043815613,-0.00836148764938116
15,Left,12,0.3196101188659668,0.4373944401741028,-0.01676998659968376
15,Left,13,0.2515089809894562,0.6648673415184021,0.0004640706756617874
15,Left,14,0.25751328468322754,0.5610326528549194,-0.010581514798104763
15,Left,15,0.27094635367393494,0.49757933616638184,-0.02017391100525856
15,Left,16,0.2859475016593933,0.4416818618774414,-0.0265728197991848
15,Left,17,0.2183866798877716,0.6890450119972229,-0.013484378345310688
15,Left,18,0.221689373254776,0.6039347052574158,-0.023631105199456215
15,Left,19,0.23252148926258087,0.5509849786758423,-0.027540257200598717
15,Left,20,0.24708513915538788,0.5031825304031372,-0.02995961718261242
16,Left,0,0.2670414447784424,0.9434428215026855,3.4655383274184715e-07
16,Left,1,0.3340153992176056,0.8804860711097717,-0.01058528944849968
16,Left,2,0.3680800497531891,0.7711000442504883,-0.006941798143088818
16,Left,3,0.37818825244903564,0.6953500509262085,-0.005470910109579563
16,Left,4,0.37619468569755554,0.6367968916893005,-0.002892107469961047
16,Left,5,0.31776511669158936,0.6663889288902283,0.020230399444699287
16,Left,6,0.3257402777671814,0.575849175453186,0.008764831349253654
16,Left,7,0.33726444840431213,0.5238385200500488,-0.005166581831872463
16,Left,8,0.34845292568206787,0.4789525866508484,-0.015248253010213375
16,Left,9,0.28332075476646423,0.6579310894012451,0.012966967187821865
16,Left,10,0.29203543066978455,0.5539958477020264,0.003782218787819147
16,Left,11,0.3058311343193054,0.48991674184799194,-0.009027639403939247
16,Left,12,0.3198705017566681,0.4326222836971283,-0.018343567848205566
16,Left,13,0.2502668499946594,0.6657100319862366,0.0004900014027953148
16,Left,14,0.25710663199424744,0.5638186931610107,-0.010586732998490334
16,Left,15,0.2713046967983246,0.4993564486503601,-0.02080146223306656
16,Left,16,0.2872423827648163,0.44233638048171997,-0.027836594730615616
16,Left,17,0.21775536239147186,0.6881433725357056,-0.014441708102822304
16,Left,18,0.22210271656513214,0.6052043437957764,-0.024568617343902588
16,Left,19,0.2332400679588318,0.5523214340209961,-0.02871338091790676
16,Left,20,0.24835219979286194,0.5036604404449463,-0.03153567761182785
17,Left,0,0.277663916349411,0.9342314600944519,3.29449449054664e-07
17,Left,1,0.3435169458389282,0.8716371059417725,-0.009973743930459023
17,Left,2,0.37794041633605957,0.7678959369659424,-0.006583897862583399
17,Left,3,0.3854440450668335,0.6937242746353149,-0.005441213492304087
17,Left,4,0.38310688734054565,0.6346758008003235,-0.0031533653382211924
17,Left,5,0.3304785490036011,0.6664830446243286,0.01878862828016281
17,Left,6,0.33907774090766907,0.5772051215171814,0.006691893097013235
17,Left,7,0.35054299235343933,0.5260897874832153,-0.007208566181361675
17,Left,8,0.36207568645477295,0.48100119829177856,-0.01708311028778553
17,Left,9,0.29670441150665283,0.6559430956840515,0.011593681760132313
17,Left,10,0.30582237243652344,0.5529434680938721,0.0018977741710841656
17,Left,11,0.3194688558578491,0.4918679893016815,-0.010327233001589775
17,Left,12,0.3339807689189911,0.4376217722892761,-0.018853235989809036
17,Left,13,0.2637838125228882,0.6617496013641357,-0.0005601493176072836
17,Left,14,0.27030545473098755,0.559411346912384,-0.012079334817826748
17,Left,15,0.28371888399124146,0.49670976400375366,-0.021541858091950417
17,Left,16,0.29877540469169617,0.44063353538513184,-0.027723228558897972
17,Left,17,0.23093408346176147,0.6834239363670349,-0.01505247876048088
17,Left,18,0.23510102927684784,0.6002655029296875,-0.025326622650027275
17,Left,19,0.244928240776062,0.5481154322624207,-0.02909841574728489
17,Left,20,0.2578354775905609,0.5001273155212402,-0.031332828104496
18,Left,0,0.28233397006988525,0.9291238188743591,4.89802062020317e-07
18,Left,1,0.3513219654560089,0.8718928098678589,-0.012627514079213142
18,Left,2,0.3889833986759186,0.7704628705978394,-0.011567152105271816
18,Left,3,0.39751654863357544,0.6952072381973267,-0.011442000977694988
18,Left,4,0.40270015597343445,0.6366142630577087,-0.01049586571753025
18,Left,5,0.3382634222507477,0.6564010381698608,0.007219871040433645
18,Left,6,0.35654956102371216,0.5621451735496521,-0.005902960430830717
18,Left,7,0.37165042757987976,0.5053867697715759,-0.019921043887734413
18,Left,8,0.38446107506752014,0.45679664611816406,-0.02951136976480484
18,Left,9,0.29708218574523926,0.6437957286834717,0.0011931582121178508
18,Left,10,0.3110175132751465,0.5350191593170166,-0.008364482782781124
18,Left,11,0.32547423243522644,0.4673427939414978,-0.02027079276740551
18,Left,12,0.3374399244785309,0.40993380546569824,-0.028504444286227226
18,Left,13,0.25788143277168274,0.6512230038642883,-0.008965138345956802
18,Left,14,0.2622644901275635,0.5441041588783264,-0.02001742273569107
18,Left,15,0.2722856402397156,0.477886438369751,-0.030781883746385574
18,Left,16,0.2835650146007538,0.4212400019168854,-0.038075871765613556
18,Left,17,0.21847259998321533,0.678644061088562,-0.021132180467247963
18,Left,18,0.2126937210559845,0.5954232811927795,-0.03239996358752251
18,Left,19,0.21463465690612793,0.5392322540283203,-0.037420742213726044
18,Left,20,0.21997138857841492,0.48777085542678833,-0.04018913209438324
19,Left,0,0.2756721079349518,0.9351575970649719,4.6281584786811436e-07
19,Left,1,0.34815242886543274,0.8801431655883789,-0.013212146237492561
19,Left,2,0.3904811143875122,0.7767467498779297,-0.011819700710475445
19,Left,3,0.4039067029953003,0.7004551291465759,-0.011300820857286453
19,Left,4,0.4118202328681946,0.6420495510101318,-0.010143674910068512
19,Left,5,0.33887383341789246,0.6562729477882385,0.006888929754495621
19,Left,6,0.3636687994003296,0.5606518387794495,-0.007429171819239855
19,Left,7,0.38367754220962524,0.5033704042434692,-0.022905856370925903
19,Left,8,0.40068432688713074,0.45557719469070435,-0.03354842960834503
19,Left,9,0.295913428068161,0.640974223613739,0.0007659171824343503
19,Left,10,0.30919650197029114,0.5270841121673584,-0.009130450896918774
19,Left,11,0.32346734404563904,0.4563027620315552,-0.022366942837834358
19,Left,12,0.33485543727874756,0.3971808850765228,-0.031899355351924896
19,Left,13,0.2546989619731903,0.6478922367095947,-0.009700839407742023
19,Left,14,0.25587472319602966,0.5382611751556396,-0.021922526881098747
19,Left,15,0.2645305395126343,0.4689120054244995,-0.03550232946872711
19,Left,16,0.27383026480674744,0.40980803966522217,-0.04500425606966019
19,Left,17,0.21367846429347992,0.6760138273239136,-0.02218383364379406
19,Left,18,0.19913402199745178,0.5942410826683044,-0.03545958548784256
19,Left,19,0.19085073471069336,0.5391687154769897,-0.04262286052107811
19,Left,20,0.1846173256635666,0.4882439374923706,-0.04703928902745247
20,Left,0,0.27093884348869324,0.9411489963531494,4.5434916273734416e-07
20,Left,1,0.34454479813575745,0.885589599609375,-0.013057033531367779
20,Left,2,0.39122530817985535,0.7823086380958557,-0.011199085041880608
20,Left,3,0.40968960523605347,0.705915629863739,-0.010535119101405144
20,Left,4,0.42294883728027344,0.6487420797348022,-0.009045196697115898
20,Left,5,0.3399520814418793,0.6538607478141785,0.008023839443922043
20,Left,6,0.3710954487323761,0.5582292675971985,-0.0048829070292413235
20,Left,7,0.3927196264266968,0.49858367443084717,-0.019409894943237305
20,Left,8,0.4095019996166229,0.4504283666610718,-0.029866216704249382
20,Left,9,0.29457706212997437,0.6371448636054993,0.0013900187332183123
20,Left,10,0.30567049980163574,0.519340455532074,-0.007344782818108797
20,Left,11,0.31703847646713257,0.44624754786491394,-0.020186807960271835
20,Left,12,0.32495132088661194,0.38714051246643066,-0.02970355749130249
20,Left,13,0.25150707364082336,0.6446548104286194,-0.009555784985423088
20,Left,14,0.25115254521369934,0.5322412252426147,-0.021510345861315727
20,Left,15,0.25723403692245483,0.4616074562072754,-0.036375608295202255
20,Left,16,0.26347267627716064,0.4021415114402771,-0.047064922749996185
20,Left,17,0.2100004255771637,0.6754003763198853,-0.02248513698577881
20,Left,18,0.18770381808280945,0.5969801545143127,-0.03723475709557533
20,Left,19,0.1728849858045578,0.5438041687011719,-0.04605448991060257
20,Left,20,0.1601787507534027,0.49413758516311646,-0.05138648301362991
21,Left,0,0.26809772849082947,0.9510960578918457,4.868583118877723e-07
21,Left,1,0.3411615192890167,0.8947219848632812,-0.017277158796787262
21,Left,2,0.39152345061302185,0.7857267260551453,-0.017757052555680275
21,Left,3,0.4166761040687561,0.7047592401504517,-0.018735703080892563
21,Left,4,0.43938499689102173,0.6484379172325134,-0.018635546788573265
21,Left,5,0.3390462398529053,0.6522490382194519,0.0016102769877761602
21,Left,6,0.3736068606376648,0.5549200773239136,-0.01199434231966734
21,Left,7,0.3978080451488495,0.4951183497905731,-0.026461677625775337
21,Left,8,0.416606068611145,0.44851112365722656,-0.037175919860601425
21,Left,9,0.2899247407913208,0.6343982815742493,-0.004564204253256321
21,Left,10,0.2984658181667328,0.5122570395469666,-0.013423893600702286
21,Left,11,0.307971715927124,0.4368664622306824,-0.025637757033109665
21,Left,12,0.314616322517395,0.3759249746799469,-0.034874558448791504
21,Left,13,0.2434597760438919,0.6443621516227722,-0.015334236435592175
21,Left,14,0.23872850835323334,0.5284899473190308,-0.02912515588104725
21,Left,15,0.24010390043258667,0.4549533426761627,-0.046680208295583725
21,Left,16,0.2427649199962616,0.3932555317878723,-0.05947286635637283
21,Left,17,0.19920843839645386,0.680927038192749,-0.02818032167851925
21,Left,18,0.1613961160182953,0.610200822353363,-0.04674335569143295
21,Left,19,0.135126993060112,0.5625994205474854,-0.05861464887857437
21,Left,20,0.11280037462711334,0.5179446935653687,-0.06580200791358948
22,Left,0,0.26557502150535583,0.9575577974319458,4.457014313175023e-07
22,Left,1,0.3398178815841675,0.8983480930328369,-0.016992706805467606
22,Left,2,0.39037686586380005,0.7902515530586243,-0.017725501209497452
22,Left,3,0.4168385863304138,0.7070188522338867,-0.01945618912577629
22,Left,4,0.4407593309879303,0.6487236022949219,-0.020425945520401
22,Left,5,0.33757978677749634,0.6505796313285828,0.0032778505701571703
22,Left,6,0.3729606866836548,0.5536021590232849,-0.010057559236884117
